,Unnamed: 0,drugName,condition
107,126,aczone,Acne
108,127,nicoderm cq,Smoking Cessation
109,129,naltrexone,Opiate Dependence
110,130,restasis,Keratoconjunctivitis Sicca
111,131,depo-provera,Birth Control
112,132,olanzapine,Bipolar Disorde
113,133,oxytrol,Overactive Bladde
114,134,fentanyl,Breakthrough Pain
115,135,epiduo,Acne
116,139,accutane,Acne
117,140,xanax,Panic Disorde
118,141,desvenlafaxine,Depression
119,146,lyrica,Neuropathic Pain
120,148,phenergan,Sedation
121,153,loestrin 21 1 / 20,Menstrual Disorders
122,156,loratadine,Allergic Rhinitis
123,157,cardura xl,Benign Prostatic Hyperplasia
124,158,viibryd,Major Depressive Disorde
125,159,mirena,Birth Control
126,160,ethinyl estradiol / norelgestromin,Birth Control
127,161,propofol,Anesthesia
128,162,camphor / menthol,Pain
129,163,hydroxychloroquine,Undifferentiated Connective Tissue Disease
130,164,lorcaserin,Obesity
131,165,insulin degludec,"Diabetes, Type 1"
132,166,trintellix,Depression
133,167,lupron depot,Endometriosis
134,169,zanaflex,Muscle Spasm
135,170,miconazole,Vaginal Yeast Infection
136,171,opana er,Pain
137,173,provera,Abnormal Uterine Bleeding
138,177,diflucan,Vaginal Yeast Infection
139,178,ibrance,"Breast Cancer, Metastatic"
140,180,reclipsen,Birth Control
141,182,lisinopril,High Blood Pressure
142,184,empagliflozin,"Diabetes, Type 2"
143,185,naproxen,Period Pain
144,186,amoxicillin / clarithromycin / lansoprazole,Helicobacter Pylori Infection
145,188,metoprolol,Atrial Fibrillation
146,189,naloxegol,"Constipation, Drug Induced"
147,191,skyla,Birth Control
148,192,leuprolide,Uterine Fibroids
149,193,ulipristal,Emergency Contraception
150,194,benzonatate,Cough
151,196,sulfamethoxazole / trimethoprim,Kidney Infections
152,197,eletriptan,Migraine
153,199,escitalopram,Generalized Anxiety Disorde
154,200,dulera,Asthma
155,202,prempro,Postmenopausal Symptoms
156,203,gemfibrozil,High Cholesterol
157,204,depakote,Bipolar Disorde
158,205,testosterone,"Hypogonadism, Male"
159,206,zomig,Migraine
160,207,vyvanse,ADHD
161,210,solodyn,Acne
162,211,efavirenz / emtricitabine / tenofovir,HIV Infection
163,213,methimazole,Hyperthyroidism
164,215,ortho tri-cyclen,Birth Control
165,216,aleve,Back Pain
166,217,tylenol with codeine #3,Cough
167,219,victoza,"Diabetes, Type 2"
168,220,lubiprostone,Irritable Bowel Syndrome
169,222,ethinyl estradiol / norethindrone,Birth Control
170,223,sovaldi,Hepatitis C
171,226,pristiq,Depression
172,227,temozolomide,Anaplastic Oligodendroglioma
173,228,nabumetone,Rheumatoid Arthritis
174,231,meloxicam,Osteoarthritis
175,232,cevimeline,Sjogren's Syndrome
176,234,proair respiclick,"Asthma, acute"
177,236,gabapentin,Hot Flashes
178,237,relpax,Migraine
179,238,levomilnacipran,Depression
180,239,valtrex,"Herpes Simplex, Suppression"
181,240,clindamycin,Bacterial Infection
182,241,buspar,Anxiety
183,242,plan b,Emergency Contraception
184,243,trolamine salicylate,Bursitis
185,245,lisdexamfetamine,ADHD
186,249,qsymia,Weight Loss
187,250,rizatriptan,Migraine
188,252,ziana,Acne
189,254,boudreaux butt paste,Diaper Rash
190,256,cymbalta,Depression
191,257,zoloft,Panic Disorde
192,258,tizanidine,Muscle Spasm
193,259,gastrocrom,Systemic Mastocytosis
194,260,seasonique,Birth Control
195,262,amphetamine / dextroamphetamine,ADHD
196,263,liletta,Birth Control
197,265,exenatide,"Diabetes, Type 2"
198,267,paroxetine,Trichotillomania
199,270,bontril slow release,Obesity
200,271,levothroid,Hashimoto's disease
201,272,carbamazepine,Epilepsy
202,274,adipex-p,Weight Loss
203,275,bydureon,"Diabetes, Type 2"
204,276,bupropion / naltrexone,Obesity
205,281,voltaren-xr,Pain
206,283,pimecrolimus,Eczema
207,284,acetaminophen / oxycodone,Chronic Pain
208,286,monistat 7,Vaginal Yeast Infection
209,288,pramipexole,Restless Legs Syndrome
210,290,androgel,"Hypogonadism, Male"
211,294,nitrofurantoin,Urinary Tract Infection
212,295,metronidazole,Dental Abscess
213,296,ziprasidone,Bipolar Disorde
214,297,acetaminophen / butalbital / caffeine,Headache
215,300,nuvigil,Hypersomnia
216,301,moxifloxacin,Bronchitis
217,302,methadone,Chronic Pain
218,303,celecoxib,Pain
219,304,aspirin / butalbital / caffeine,Migraine
220,305,montelukast,Allergic Rhinitis
221,306,saliva substitutes,Xerostomia
222,307,atomoxetine,ADHD
223,311,anastrozole,Breast Cance
224,313,phenol,Sore Throat
225,315,duloxetine,Anxiety
226,316,magnesium sulfate / potassium sulfate / sodium sulfate,Bowel Preparation
227,322,lansoprazole,Barrett's Esophagus
228,324,nardil,Depression
229,325,milnacipran,ibromyalgia
230,327,oxymorphone,Pain
231,329,acetaminophen / aspirin / caffeine,Pain/Feve
232,334,levora,Birth Control
233,336,paragard,Birth Control
234,337,levaquin,Urinary Tract Infection
235,339,ciprofloxacin,Diverticulitis
236,341,avelox,Sinusitis
237,343,acidophilus,Vaginal Yeast Infection
238,345,metformin,Polycystic Ovary Syndrome
239,346,terconazole,Vaginal Yeast Infection
240,350,saphris,Bipolar Disorde
241,351,augmentin,Sinusitis
242,353,lexapro,Anxiety
243,354,tamiflu,Influenza
244,357,prazosin,High Blood Pressure
245,359,liothyronine,"Hypothyroidism, After Thyroid Removal"
246,360,seroquel,Generalized Anxiety Disorde
247,364,terbinafine,"Onychomycosis, Toenail"
248,367,valium,Muscle Spasm
249,371,norco,Pain
250,375,progesterone,Progesterone Insufficiency
251,376,concerta,ADHD
252,377,ocella,Birth Control
253,379,strattera,ADHD
254,386,mylanta,GERD
255,390,trinessa,Acne
256,391,goserelin,Endometriosis
257,393,quetiapine,Bipolar Disorde
258,394,testim,"Hypogonadism, Male"
259,395,emend,"Nausea/Vomiting, Postoperative"
260,396,methylphenidate,Depression
261,399,acyclovir,Herpes Simplex
262,400,linzess,"Constipation, Chronic"
263,402,orthovisc,Osteoarthritis
264,403,silodosin,Benign Prostatic Hyperplasia
265,405,metoclopramide,Gastroparesis
266,406,indomethacin,"Gout, Acute"
267,407,copper,Birth Control
268,408,meclizine,Motion Sickness
269,411,gilenya,Multiple Sclerosis
270,417,microgestin fe 1 / 20,Birth Control
271,419,klonopin,Panic Disorde
272,423,codeine / guaifenesin,Cough
273,429,citalopram,Anxiety and Stress
274,430,colazal,Crohn's Disease
275,432,fiorinal with codeine,Headache
276,438,zolpidem,Insomnia
277,439,wellbutrin xl,Depression
278,442,climara pro,Postmenopausal Symptoms
279,449,clarithromycin,Otitis Media
280,451,bactrim ds,Upper Respiratory Tract Infection
281,452,varenicline,Smoking Cessation
282,456,amoxicillin / clavulanate,Upper Respiratory Tract Infection
283,459,tolterodine,Overactive Bladde
284,463,hydroxyzine,Anxiety
285,464,blisovi fe 1 / 20,Birth Control
286,465,ramelteon,Insomnia
287,468,infliximab,Psoriatic Arthritis
288,469,rabeprazole,Erosive Esophagitis
289,470,dexilant,GERD
290,473,immune globulin oral,Irritable Bowel Syndrome
291,474,nucynta,Pain
292,475,hysingla er,Pain
293,477,pantoprazole,Stomach Ulce
294,478,sprycel,Chronic Myelogenous Leukemia
295,480,tri-sprintec,Acne
296,481,zofran,Nausea/Vomiting
297,482,versed,Light Anesthesia
298,484,cipro,Urinary Tract Infection
299,487,ms contin,Chronic Pain
300,489,avonex,Multiple Sclerosis
301,493,focalin xr,ADHD
302,495,loestrin 24 fe,Birth Control
303,499,junel fe 1 / 20,Birth Control
304,502,imdur,Angina Pectoris Prophylaxis
305,504,diazepam,Anxiety
306,505,bisacodyl,Constipation
307,510,suvorexant,Insomnia
308,513,risperidone,Paranoid Disorde
309,516,sprintec,Birth Control
310,519,risperdal,Paranoid Disorde
311,526,simponi,Rheumatoid Arthritis
312,528,euflexxa,Osteoarthritis
313,529,diclofenac,Pain
314,531,dimenhydrinate,Nausea/Vomiting
315,532,benztropine,Extrapyramidal Reaction
316,534,ortho tri-cyclen lo,Birth Control
317,536,ibuprofen,Pain
318,537,sumatriptan,Migraine
319,539,polyethylene glycol 3350,Constipation
320,544,xenical,Obesity
321,545,glatiramer,Multiple Sclerosis
322,547,atarax,Anxiety
323,550,orsythia,Birth Control
324,551,alirocumab,"High Cholesterol, Familial Heterozygous"
325,557,sublimaze,Anesthesia
326,564,ethinyl estradiol / etonogestrel,Birth Control
327,567,femhrt,Postmenopausal Symptoms
328,570,lortab,Pain
329,575,haldol,Nausea/Vomiting
330,576,tapentadol,Pain
331,579,ketorolac,Pain
332,580,phentermine,Weight Loss
333,582,effexor,Depression
334,585,remicade,Spondyloarthritis
335,587,flexeril,ibromyalgia
336,588,smz-tmp ds,Upper Respiratory Tract Infection
337,590,dutasteride,Benign Prostatic Hyperplasia
338,592,thyroid desiccated,Underactive Thyroid
339,594,opana,Pain
340,595,zyprexa,Depression
341,597,vedolizumab,Crohn's Disease
342,601,chantix,Smoking Cessation
343,602,suboxone,Opiate Dependence
344,605,mirapex,Restless Legs Syndrome
345,606,uribel,Urinary Tract Infection
346,607,vicks sinex nasal spray (old formulation),Nasal Congestion
347,608,bactrim,Urinary Tract Infection
348,610,depo-provera contraceptive,Birth Control
349,612,ceftriaxone,Bacterial Infection
350,613,ranexa,Angina
351,620,trulicity,"Diabetes, Type 2"
352,621,percocet,Pain
353,624,sitagliptin,"Diabetes, Type 2"
354,625,formoterol / mometasone,moterol / mometasone)
355,636,ambien,Insomnia
356,637,belviq,Weight Loss
357,638,retapamulin,Impetig
358,642,vigamox,"Conjunctivitis, Bacterial"
359,643,levetiracetam,Epilepsy
360,646,yaz,Birth Control
361,648,elidel,Eczema
362,650,abilify discmelt,Post Traumatic Stress Disorde
363,655,delsym 12 hour cough relief,Cough
364,656,baclofen,Alcohol Withdrawal
365,658,halobetasol,Psoriasis
366,660,azelastine / fluticasone,Allergic Rhinitis
367,662,drysol,Hyperhidrosis
368,668,cimzia,Ankylosing Spondylitis
369,669,rexulti,Depression
370,670,proctofoam,Hemorrhoids
371,674,cefdinir,Sinusitis
372,675,tramadol,Pain
373,678,norflex,Muscle Spasm
374,680,humira,Psoriasis
375,681,tecfidera,Multiple Sclerosis
376,685,acetaminophen / dichloralphenazone / isometheptene mucate,Headache
377,689,benzoyl peroxide / clindamycin,Acne
378,693,methyl salicylate,Osteoarthritis
379,694,monistat 3-day combination pack,Vaginal Yeast Infection
380,695,clindamycin / tretinoin,Acne
381,699,flonase,Rhinitis
382,701,norethindrone,Birth Control
383,710,alvesco,"Asthma, Maintenance"
384,714,nystatin,Oral Thrush
385,718,econtra ez,Emergency Contraception
386,719,tricor,Hyperlipoproteinemia
387,720,diphenhydramine,Insomnia
388,721,neulasta,Neutropenia Associated with Chemotherapy
389,724,zolmitriptan,Migraine
390,725,minastrin 24 fe,Birth Control
391,730,levothyroxine,Underactive Thyroid
392,732,mononessa,Birth Control
393,734,differin,Acne
394,735,ibandronate,Osteoporosis
395,741,zithromax,Sinusitis
396,742,compazine,Anxiety
397,747,topamax,Migraine Prevention
398,754,ustekinumab,Psoriasis
399,755,minocycline,Acne
400,759,ultram er,Pain
401,760,nortriptyline,Irritable Bowel Syndrome
402,761,pregabalin,Reflex Sympathetic Dystrophy Syndrome
403,763,suprep bowel prep kit,Bowel Preparation
404,765,armour thyroid,"Hypothyroidism, After Thyroid Removal"
405,768,jolessa,Birth Control
406,770,mirvaso,Rosacea
407,775,atralin,Acne
408,777,crestor,High Cholesterol
409,778,rozerem,Insomnia
410,780,cryselle,Birth Control
411,782,sucralfate,GERD
412,783,efinaconazole,"Onychomycosis, Toenail"
413,785,cetirizine,Urticaria
414,788,amoxicillin,Urinary Tract Infection
415,790,soma,Muscle Spasm
416,797,neupro,Restless Legs Syndrome
417,804,valacyclovir,"Herpes Simplex, Suppression"
418,805,toprol-xl,High Blood Pressure
419,806,sodium oxybate,Narcolepsy
420,808,mesalamine,Ulcerative Colitis
421,809,orlistat,Obesity
422,810,butorphanol,Pain
423,812,humatrope,Adult Human Growth Hormone Deficiency
424,815,diltiazem,Atrial Fibrillation
425,817,hydrocodone,Pain
426,820,ritalin,ADHD
427,821,kapvay,ADHD
428,823,prozac,Anxiety and Stress
429,828,vicodin,Pain
430,832,falmina,Polycystic Ovary Syndrome
431,833,relafen,Back Pain
432,835,restoril,Insomnia
433,836,frovatriptan,Migraine
434,837,losartan,High Blood Pressure
435,839,sharobel,Birth Control
436,845,xyrem,Narcolepsy
437,849,apri,Birth Control
438,851,ella,Emergency Contraception
439,855,spiriva,"COPD, Maintenance"
440,856,tasigna,Chronic Myelogenous Leukemia
441,858,dupixent,Eczema
442,859,lorazepam,Insomnia
443,860,cyproheptadine,Anorexia
444,863,repatha,High Cholesterol
445,864,docusate,Constipation
446,870,hydrochlorothiazide,High Blood Pressure
447,877,scopolamine,Motion Sickness
448,886,flurbiprofen,Period Pain
449,889,femara,"Breast Cancer, Adjuvant"
450,892,methotrexate,Psoriasis
451,895,hypercare,Hyperhidrosis
452,896,epinephrine,"Asthma, acute"
453,907,brimonidine / timolol,Glaucoma
454,909,mucinex d,Cough and Nasal Congestion
455,910,azor,High Blood Pressure
456,912,voltaren,Pain
457,918,vortioxetine,Major Depressive Disorde
458,920,velivet,Birth Control
459,923,necon 1 / 35,Birth Control
460,924,seroquel xr,Bipolar Disorde
461,925,detrol la,Urinary Incontinence
462,926,sporanox,"Onychomycosis, Toenail"
463,931,febuxostat,Gout
464,934,eluxadoline,Irritable Bowel Syndrome
465,936,neurontin,Pain
466,937,ondansetron,Nausea/Vomiting
467,947,gardasil,Human Papillomavirus Prophylaxis
468,948,avastin,Glioblastoma Multiforme
469,952,paliperidone,Schizophrenia
470,954,nora-be,Birth Control
471,958,penicillin v potassium,Bacterial Infection
472,965,tofacitinib,Rheumatoid Arthritis
473,968,st. john's wort,Depression
474,970,rythmol sr,Atrial Fibrillation
475,971,vytorin,High Cholesterol
476,972,dilaudid,Pain
477,975,vilazodone,Anxiety
478,976,librium,Alcohol Withdrawal
479,979,duac,Acne
480,982,dapsone,Acne
481,989,vicodin es,Pain
482,991,hydromorphone,Pain
483,992,zyban,Smoking Cessation
484,995,ranitidine,GERD
485,997,arava,Rheumatoid Arthritis
486,1001,adderall,ADHD
487,1004,ruconest,Hereditary Angioedema
488,1006,pseudoephedrine / triprolidine,Cold Symptoms
489,1008,etodolac,Osteoarthritis
490,1012,emsam,Depression
491,1016,diovan,High Blood Pressure
492,1022,ammonium lactate,Dry Skin
493,1025,desmopressin,Diabetes Insipidus
494,1029,zepatier,Hepatitis C
495,1030,magnesium hydroxide,Constipation
496,1036,butrans,Chronic Pain
497,1038,botox,Migraine
498,1041,azelastine,Allergic Rhinitis
499,1042,xalkori,Non-Small Cell Lung Cance
500,1043,zyvox,Methicillin-Resistant Staphylococcus Aureus Infection
501,1047,rocephin,Urinary Tract Infection
502,1048,kyleena,Birth Control
503,1056,toujeo,"Diabetes, Type 2"
504,1058,dexlansoprazole,GERD
505,1063,brexpiprazole,Major Depressive Disorde
506,1064,roxicodone intensol,Pain
507,1068,reglan,Migraine
508,1071,divalproex sodium,Bipolar Disorde
509,1076,tindamax,Bacterial Vaginitis
510,1081,camrese,Birth Control
511,1085,metrogel-vaginal,Bacterial Vaginitis
512,1087,tadalafil,Erectile Dysfunction
513,1088,flecainide,Atrial Fibrillation
514,1090,junel fe 1.5 / 30,Birth Control
515,1091,flagyl,Bacterial Infection
516,1098,ovace plus,Seborrheic Dermatitis
517,1100,secobarbital,Insomnia
518,1103,empagliflozin / linagliptin,"Diabetes, Type 2"
519,1105,raltegravir,HIV Infection
520,1111,ampyra,Multiple Sclerosis
521,1117,celebrex,Osteoarthritis
522,1119,colchicine,"Gout, Acute"
523,1120,geodon,Bipolar Disorde
524,1122,aluminum chloride hexahydrate,Hyperhidrosis
525,1134,tryptophan,Insomnia
526,1135,myrbetriq,Overactive Bladde
527,1136,malarone,Malaria Prevention
528,1137,fetzima,Major Depressive Disorde
529,1138,omeprazole,Erosive Esophagitis
530,1139,fluoride,Prevention of Dental Caries
531,1140,jardiance,"Diabetes, Type 2"
532,1142,turmeric,Herbal Supplementation
533,1146,desogestrel / ethinyl estradiol,Birth Control
534,1148,secukinumab,Plaque Psoriasis
535,1149,ethinyl estradiol / norgestrel,Abnormal Uterine Bleeding
536,1151,nifedipine,Raynaud's Syndrome
537,1153,celexa,Depression
538,1158,prednisone,Asthma
539,1159,methocarbamol,Muscle Spasm
540,1162,haldol decanoate,Psychosis
541,1163,beyaz,Birth Control
542,1172,taclonex,Plaque Psoriasis
543,1176,decadron,Addison's Disease
544,1178,vardenafil,Erectile Dysfunction
545,1184,oxazepam,Anxiety
546,1187,dexmethylphenidate,ADHD
547,1195,firmagon,Prostate Cance
548,1200,phenazopyridine,Dysuria
549,1202,tiotropium,"COPD, Maintenance"
550,1203,savella,ibromyalgia
551,1209,cataflam,Osteoarthritis
552,1213,cobicistat / elvitegravir / emtricitabine / tenofovir,HIV Infection
553,1214,ramipril,High Blood Pressure
554,1216,relistor,Opioid-Induced Constipation
555,1217,paxil,Depression
556,1220,stelara,Psoriasis
557,1221,cambia,Migraine
558,1222,ezetimibe,High Cholesterol
559,1227,mefenamic acid,Period Pain
560,1228,budesonide / formoterol,moterol)
561,1231,doryx,Acne
562,1242,dymista,Allergic Rhinitis
563,1245,omalizumab,"Asthma, Maintenance"
564,1247,lunesta,Insomnia
565,1257,mometasone,Eczema
566,1263,phenylephrine,Nasal Congestion
567,1268,vesicare,Overactive Bladde
568,1272,kapidex,GERD
569,1274,errin,Birth Control
570,1275,lomotil,Diarrhea
571,1277,clomid,emale Infertility
572,1278,clozapine,Schizophrenia
573,1279,olopatadine,Seasonal Allergic Conjunctivitis
574,1286,narcan injection,Opioid Overdose
575,1287,mirabegron,Overactive Bladde
576,1289,wellbutrin sr,ADHD
577,1302,tinidazole,Bacterial Vaginitis
578,1306,asenapine,Post Traumatic Stress Disorde
579,1310,penicillin vk,Bacterial Infection
580,1321,oxymetazoline,Rosacea
581,1322,epiceram,Dry Skin
582,1336,temazepam,Insomnia
583,1337,oxybutynin,Overactive Bladde
584,1342,armodafinil,Obstructive Sleep Apnea/Hypopnea Syndrome
585,1345,epclusa,Hepatitis C
586,1348,dalfampridine,Multiple Sclerosis
587,1349,onabotulinumtoxina,Migraine Prevention
588,1354,doxylamine / pyridoxine,Nausea/Vomiting of Pregnancy
589,1356,estarylla,Birth Control
590,1367,vancomycin,Bacterial Infection
591,1368,naproxen / sumatriptan,Migraine
592,1369,fastin,Weight Loss
593,1370,protonix,Stomach Ulce
594,1371,bazedoxifene / conjugated estrogens,Hot Flashes
595,1376,chloral hydrate,Insomnia
596,1379,lialda,"Ulcerative Colitis, Active"
597,1383,maxalt,Migraine
598,1392,denosumab,Osteoporosis
599,1393,boniva,Osteoporosis
600,1395,sklice,Head Lice
601,1403,acetazolamide,Pseudotumor Cerebri
602,1404,clinpro 5000,Prevention of Dental Caries
603,1427,zelapar,Parkinson's Disease
604,1453,desloratadine,Allergic Rhinitis
605,1454,cyclobenzaprine,ibromyalgia
606,1457,docosanol,Herpes Simplex
607,1458,acetaminophen,Sciatica
608,1460,chaparral,Cance
609,1465,hyaluronan,Osteoarthritis
610,1468,polyethylene glycol 3350 with electrolytes,Bowel Preparation
611,1471,mestranol / norethindrone,Abnormal Uterine Bleeding
612,1480,melatonin,Insomnia
613,1488,symbicort,"Asthma, Maintenance"
614,1491,lutera,Birth Control
615,1497,emollients,Dry Skin
616,1498,colesevelam,"Diarrhea, Chronic"
617,1504,zyclara,Keratosis
618,1508,aspirin / caffeine,Pain
619,1511,abreva,Herpes Simplex
620,1517,isocarboxazid,Depression
621,1518,correctol,Constipation
622,1522,plecanatide,Chronic Idiopathic Constipation
623,1528,xarelto,Atrial Fibrillation
624,1531,prevacid,GERD
625,1535,simvastatin,High Cholesterol
626,1541,carbatrol,Epilepsy
627,1548,dapagliflozin,"Diabetes, Type 2"
628,1553,tresiba,"Diabetes, Type 2"
629,1557,oracea,Rosacea
630,1558,abilify,Autism
631,1564,meperidine,Pain
632,1565,tamoxifen,"Breast Cancer, Adjuvant"
633,1566,harvoni,Hepatitis C
634,1573,imiquimod,Basal Cell Carcinoma
635,1583,trospium,Overactive Bladde
636,1586,limbitrol,Depression
637,1590,zegerid,GERD
638,1599,diethylpropion,Obesity
639,1610,limbrel,Osteoarthritis
640,1613,verapamil,Arrhythmia
641,1615,premarin,Primary Ovarian Failure
642,1618,pentazocine,Pain
643,1619,apremilast,Psoriatic Arthritis
644,1623,ciclesonide,"Asthma, Maintenance"
645,1629,canagliflozin,"Diabetes, Type 2"
646,1630,megestrol,Weight Loss
647,1638,loseasonique,Birth Control
648,1644,otezla,Plaque Psoriasis
649,1649,zenzedi,ADHD
650,1660,phosphorated carbohydrate solution,Nausea/Vomiting
651,1662,"influenza virus vaccine, live, trivalent",Influenza Prophylaxis
652,1664,deplin,Depression
653,1666,methylprednisolone,"Gout, Acute"
654,1672,invega,Bipolar Disorde
655,1676,cutar,Seborrheic Dermatitis
656,1680,serzone,Depression
657,1685,biaxin xl,Pneumonia
658,1686,coreg,Heart Failure
659,1690,ortho cyclen,Birth Control
660,1691,lorcet 10 / 650,Back Pain
661,1696,letrozole,"Breast Cancer, Adjuvant"
662,1705,cefuroxime,Sinusitis
663,1716,sectral,High Blood Pressure
664,1733,belladonna / opium,Overactive Bladde
665,1737,flomax,Overactive Bladde
666,1738,my way,Emergency Contraception
667,1747,belsomra,Insomnia
668,1749,adapalene,Acne
669,1757,promethazine,Sedation
670,1759,fentanyl transdermal system,Chronic Pain
671,1769,desoxyn,ADHD
672,1780,tegretol,Dystonia
673,1787,oseltamivir,Influenza
674,1789,kombiglyze xr,"Diabetes, Type 2"
675,1794,minoxidil,Alopecia
676,1800,enbrel,Ankylosing Spondylitis
677,1809,adalimumab,Plaque Psoriasis
678,1842,xulane,Birth Control
679,1844,elavil,Insomnia
680,1845,endocet,Pain
681,1849,unisom sleepgels,Insomnia
682,1851,invokana,"Diabetes, Type 2"
683,1854,naphazoline,Nasal Congestion
684,1859,hydrochlorothiazide / telmisartan,High Blood Pressure
685,1861,mycophenolate mofetil,Myasthenia Gravis
686,1866,eucrisa,Atopic Dermatitis
687,1868,biltricide,Schistosoma japonicum
688,1881,bystolic,High Blood Pressure
689,1883,ibuprofen / pseudoephedrine,Sinus Symptoms
690,1887,alesse,Birth Control
691,1900,bisoprolol / hydrochlorothiazide,High Blood Pressure
692,1905,fexofenadine,Allergic Rhinitis
693,1911,fentora,Pain
694,1912,guaifenesin,Cough
695,1914,modafinil,Hypersomnia
696,1922,kadian,Pain
697,1926,dexamethasone,Asthma
698,1927,atropine / diphenoxylate,Diarrhea
699,1933,metformin / sitagliptin,min / sitagliptin)
700,1935,fluorouracil,Keratosis
701,1939,clobetasol,Dermatitis
702,1940,commit,Smoking Cessation
703,1943,tri-lo-sprintec,Birth Control
704,1952,guaifenesin / phenylephrine,Cough and Nasal Congestion
705,1957,dexbrompheniramine / pseudoephedrine,Allergic Rhinitis
706,1969,freshkote,Eye Redness
707,1974,racepinephrine,"Asthma, acute"
708,1977,keflex,Upper Respiratory Tract Infection
709,1989,fluticasone,Allergic Rhinitis
710,1990,levemir,"Diabetes, Type 2"
711,2005,alprostadil,Erectile Dysfunction
712,2008,carbidopa / levodopa,Restless Legs Syndrome
713,2011,tranexamic acid,Menorrhagia
714,2013,esomeprazole,GERD
715,2020,voltaren gel,Pain
716,2035,adderall xr,ADHD
717,2047,hydrocortisone,Skin Rash
718,2049,remeron,Anxiety
719,2051,genvoya,HIV Infection
720,2052,podofilox,Condylomata Acuminata
